dataset,ate_rmse_m,ate_mean_m,ate_std_m,rte_rmse_m,rte_mean_m,rte_std_m,ate_perc
MH_01_easy,0.09171258582890403,0.08226308850453067,0.04054605614754463,0.010361996335926204,0.005389874082241629,0.00884987149304034,2.0422716539784385
MH_02_easy,0.32146037734804594,0.26324696498405753,0.1844933864165067,0.009492805550666884,0.005514324554646461,0.0077269387165160765,6.62921076692261
MH_03_medium,0.24397501952447534,0.20645793055221587,0.12999589633547884,0.012384599055487546,0.007326261698171836,0.009985198210104962,0.6143570868986268
MH_05_difficult,0.39582852715961697,0.3696885775168315,0.14145875217508924,0.024438139293389713,0.015055885356617412,0.01924949267517229,5.788891637646238
V1_01_easy,0.10366527485487276,0.09459503471090625,0.04240599743879109,0.006473586690715511,0.003600249695704705,0.005380104717455522,9.042549413054223
V1_03_difficult,0.10448324084616237,0.09186351922338958,0.04977792134682911,0.00848520407624536,0.005058449536595203,0.0068125455228754735,2.000796548455418
V2_01_easy,0.07770681549517017,0.06849110653717037,0.03670582378471293,0.007866596769283897,0.0037203091507586757,0.006931280152561221,5.586841330965521
V2_03_difficult,0.16135399293460634,0.13470363993123266,0.08882589951820258,0.011061110485657617,0.00664910757110036,0.00883954374862531,5.359481484409698
